"year","age","px","fx"
1993,9,0.99985554,0
1993,10,0.99984282,0
1993,11,0.99982448,0
1993,12,0.99980156,0
1993,13,0.99977558,0
1993,14,0.99974775,0
1993,15,0.99971933,0.001841
1993,16,0.99969087,0.00459
1993,17,0.99966267,0.007065
1993,18,0.99963538,0.009154
1993,19,0.99960991,0.011854
1993,20,0.99958786,0.016046
1993,21,0.99957102,0.025447
1993,22,0.99956024,0.040167
1993,23,0.99955558,0.057668
1993,24,0.99955515,0.076639
1993,25,0.99955612,0.093974
1993,26,0.99955545,0.108254
1993,27,0.9995501,0.117572
1993,28,0.99953851,0.121571
1993,29,0.9995199,0.120693
1993,30,0.99949471,0.115303
1993,31,0.99946434,0.106308
1993,32,0.99942994,0.094506
1993,33,0.99939241,0.082243
1993,34,0.9993513,0.070051
1993,35,0.99930463,0.057741
1993,36,0.9992496,0.045977
1993,37,0.99918249,0.035646
1993,38,0.99910044,0.026932
1993,39,0.99900206,0.019528
1993,40,0.99888793,0.013448
1993,41,0.99876188,0.008528
1993,42,0.99862809,0.004873
1993,43,0.99848993,0.002414
1993,44,0.99834744,0.001039
1993,45,0.99819419,0.000298
1993,46,0.99802045,8.4e-05
1993,47,0.99781255,1.1e-05
1993,48,0.99755691,0
1993,49,0.9972446,0
1993,50,0.99687045,0
1993,51,0.99644004,0
1993,52,0.99596424,0
1993,53,0.99545544,0
1993,54,0.99492549,0
1993,55,0.99437395,0
1993,56,0.99379449,0
1993,57,0.99317286,0
1993,58,0.99249207,0
1993,59,0.99174149,0
1993,60,0.9909129,0
1993,61,0.99000621,0
1993,62,0.989023,0
1993,63,0.98795723,0
1993,64,0.98679628,0
1993,65,0.98550916,0
1993,66,0.98405338,0
1993,67,0.98238467,0
1993,68,0.98045674,0
1993,69,0.97824985,0
1993,70,0.97576331,0
1993,71,0.97302594,0
1993,72,0.97009071,0
1993,73,0.96699056,0
1993,74,0.96374373,0
1993,75,0.96031268,0
1993,76,0.95661579,0
1993,77,0.95255915,0
1993,78,0.94803551,0
1993,79,0.94297529,0
1993,80,0.93734115,0
1993,81,0.93113052,0
1993,82,0.92437647,0
1993,83,0.91710142,0
1993,84,0.9093156,0
1993,85,0.90099957,0
1993,86,0.89209976,0
1993,87,0.88255844,0
1993,88,0.87231597,0
1993,89,0.8613309,0
1993,90,0.84958817,0
1993,91,0.83709044,0
1993,92,0.82386227,0
1993,93,0.80993595,0
1993,94,0.79534811,0
1993,95,0.78061359,0
1993,96,0.7650823,0
1993,97,0.74906834,0
1993,98,0.73263874,0
1993,99,0.71586861,0
1993,100,0,0
1994,0,0.99603928,0
1994,1,0.99969247,0
1994,2,0.99973194,0
1994,3,0.99976531,0
1994,4,0.9997926,0
1994,5,0.99981394,0
1994,6,0.99982945,0
1994,7,0.99983933,0
1994,8,0.99984398,0
1994,9,0.99984355,0
1994,10,0.99983822,0
1994,11,0.99982788,0
1994,12,0.99981244,0
1994,13,0.99979174,0
1994,14,0.99976597,0
1994,15,0.99973581,0.001748
1994,16,0.99970264,0.004342
1994,17,0.99966875,0.006606
1994,18,0.99963658,0.008435
1994,19,0.99960881,0.010827
1994,20,0.99958718,0.01466
1994,21,0.9995727,0.023572
1994,22,0.99956509,0.037713
1994,23,0.99956317,0.054763
1994,24,0.99956488,0.073488
1994,25,0.99956774,0.090889
1994,26,0.99956932,0.105568
1994,27,0.99956732,0.11546
1994,28,0.9995601,0.120146
1994,29,0.99954635,0.119946
1994,30,0.99952519,0.115198
1994,31,0.99949597,0.106588
1994,32,0.99945814,0.094925
1994,33,0.99941138,0.082591
1994,34,0.99935563,0.070162
1994,35,0.99929137,0.057559
1994,36,0.99921948,0.045602
1994,37,0.99914138,0.035134
1994,38,0.99905841,0.026347
1994,39,0.9989716,0.018966
1994,40,0.99888123,0.013045
1994,41,0.99878646,0.008206
1994,42,0.99868544,0.004619
1994,43,0.99857504,0.002252
1994,44,0.99845076,0.000985
1994,45,0.99830626,0.000332
1994,46,0.998134,0.000101
1994,47,0.99792528,1.9e-05
1994,48,0.99767115,6e-06
1994,49,0.99736456,6e-06
1994,50,0.99700017,0
1994,51,0.99657796,0
1994,52,0.99610133,0
1994,53,0.9955763,0
1994,54,0.99501125,0
1994,55,0.99441228,0
1994,56,0.99378511,0
1994,57,0.99313166,0
1994,58,0.99245169,0
1994,59,0.99174123,0
1994,60,0.9909928,0
1994,61,0.99019327,0
1994,62,0.98932396,0
1994,63,0.98835847,0
1994,64,0.98726211,0
1994,65,0.98599025,0
1994,66,0.98448892,0
1994,67,0.98270884,0
1994,68,0.98060287,0
1994,69,0.97816048,0
1994,70,0.975403,0
1994,71,0.97239495,0
1994,72,0.96923934,0
1994,73,0.96600391,0
1994,74,0.96272692,0
1994,75,0.95934913,0
1994,76,0.95573498,0
1994,77,0.9517329,0
1994,78,0.94717247,0
1994,79,0.94195384,0
1994,80,0.93603702,0
1994,81,0.92944534,0
1994,82,0.92226859,0
1994,83,0.91457499,0
1994,84,0.90640674,0
1994,85,0.89774547,0
1994,86,0.8885027,0
1994,87,0.87858331,0
1994,88,0.86789086,0
1994,89,0.85636951,0
1994,90,0.8440217,0
1994,91,0.83087934,0
1994,92,0.81700815,0
1994,93,0.80246521,0
1994,94,0.78728092,0
1994,95,0.77192102,0
1994,96,0.75577655,0
1994,97,0.73916876,0
1994,98,0.72217389,0
1994,99,0.70487633,0
1994,100,0,0
1995,0,0.996302,0
1995,1,0.99967186,0
1995,2,0.99974246,0
1995,3,0.99979524,0
1995,4,0.99983268,0
1995,5,0.99985728,0
1995,6,0.99987093,0
1995,7,0.99987485,0
1995,8,0.9998701,0
1995,9,0.99985678,0
1995,10,0.99983572,0
1995,11,0.9998084,0
1995,12,0.99977758,0
1995,13,0.99974748,0
1995,14,0.99972095,0
1995,15,0.99969971,0.001553
1995,16,0.9996825,0.003874
1995,17,0.9996667,0.006007
1995,18,0.99965025,0.007892
1995,19,0.99963144,0.010487
1995,20,0.99961023,0.014578
1995,21,0.99958747,0.023425
1995,22,0.99956476,0.037155
1995,23,0.99954422,0.053675
1995,24,0.99952787,0.071845
1995,25,0.99951752,0.088824
1995,26,0.99951378,0.103285
1995,27,0.9995162,0.113135
1995,28,0.99952221,0.117942
1995,29,0.99952806,0.11797
1995,30,0.99952911,0.113546
1995,31,0.99952018,0.105189
1995,32,0.99949756,0.093702
1995,33,0.99945794,0.081429
1995,34,0.99940029,0.068969
1995,35,0.99932653,0.05633
1995,36,0.9992412,0.04446
1995,37,0.99915287,0.034104
1995,38,0.99906914,0.025455
1995,39,0.99899418,0.018272
1995,40,0.99892681,0.012659
1995,41,0.99885869,0.007992
1995,42,0.99878033,0.004517
1995,43,0.99868181,0.002229
1995,44,0.99855477,0.001012
1995,45,0.99839462,0.000331
1995,46,0.99819811,0.000115
1995,47,0.99796534,3.4e-05
1995,48,0.99769729,2.2e-05
1995,49,0.99739459,2e-05
1995,50,0.99705784,0
1995,51,0.99668543,0
1995,52,0.99627539,0
1995,53,0.99582508,0
1995,54,0.99533176,0
1995,55,0.99479295,0
1995,56,0.9942064,0
1995,57,0.99357017,0
1995,58,0.99288274,0
1995,59,0.99214294,0
1995,60,0.99134942,0
1995,61,0.99049872,0
1995,62,0.98958392,0
1995,63,0.98858717,0
1995,64,0.9874806,0
1995,65,0.98621809,0
1995,66,0.9847399,0
1995,67,0.98298759,0
