"X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
2.057,2.366,2.635,2.882,3.08,3.247,3.404,3.554,3.711,3.903,4.13,4.348,4.549,4.773,5.044,5.345,5.612,5.835,6.043,6.195,6.236,6.194,6.172,6.264,6.413,6.559,6.703,6.747,6.837,7.072,7.213,7.387,7.87,8.621,9.305,9.602,9.585,9.574,9.833,10.322,11.084,11.422,10.716,10.527,12.05,14.014,14.971,14.689,13.674,13.469,13.745,13.761,16.233,20.233,22.146,22.886,23.569,24.145,25.196,26.553,27.925,29.207,30.338,31.225,31.78,32.227,32.574,32.718,32.895,33.274,33.093,32.431,32.275,32.163,32.02,32.128,32.756,34.056,35.359,36.169,36.031,35.545,35.974,36.703,37.105,37.944,39.066,40.19,41.304,41.8,42.023,42.598,42.914,44.12,47.465,50.06,50.66,51.257,51.836,52.239,52.654,52.651,52.413,52.052,51.272,50.45,50.429,49.952,48.127,45.904,43.432,40.802,38.033,34.953,31.444,28.061,25.813,24.84,24.929,25.17,25.327,25.822,26.052,25.886,25.921,26.383,26.689,26.573,26.521,27.079,27.858,28.371,28.796,29.087,29.294,29.363,29.282,29.071,28.739,28.333,27.818,27.177,26.445,25.635,24.762,23.864,22.979,22.163,21.442,20.831,20.334
1.826,2.098,2.389,2.636,2.856,3.039,3.211,3.373,3.521,3.681,3.877,4.101,4.311,4.51,4.737,5.013,5.315,5.585,5.814,6.025,6.162,6.171,6.117,6.101,6.205,6.356,6.498,6.646,6.682,6.766,7.04,7.234,7.407,7.855,8.576,9.205,9.473,9.489,9.523,9.81,10.308,11.062,11.378,10.669,10.495,12.025,13.977,14.916,14.616,13.58,13.387,13.661,13.541,15.894,20.003,22.03,22.783,23.492,24.081,25.09,26.392,27.764,29.02,30.086,30.956,31.521,31.959,32.285,32.404,32.499,32.572,32.334,32.306,32.413,32.114,31.963,32.065,32.69,33.989,35.285,36.088,35.955,35.476,35.907,36.636,37.032,37.864,38.987,40.114,41.225,41.717,41.937,42.514,42.834,44.037,47.379,49.973,50.569,51.172,51.755,52.156,52.573,52.581,52.346,51.977,51.198,50.383,50.365,49.886,48.063,45.842,43.373,40.749,37.987,34.911,31.399,28.017,25.781,24.814,24.904,25.149,25.308,25.802,26.032,25.858,25.887,26.357,26.666,26.546,26.491,27.048,27.826,28.337,28.764,29.058,29.265,29.331,29.252,29.044,28.71,28.305,27.794,27.157,26.427,25.613,24.739,23.844,22.959,22.142,21.424,20.816
1.735,1.878,2.138,2.41,2.634,2.827,2.995,3.17,3.336,3.485,3.652,3.85,4.068,4.271,4.466,4.697,4.978,5.282,5.555,5.786,5.989,6.098,6.089,6.035,6.026,6.141,6.295,6.434,6.587,6.614,6.726,7.053,7.231,7.359,7.797,8.498,9.107,9.389,9.425,9.482,9.79,10.285,11.014,11.316,10.622,10.468,11.996,13.923,14.834,14.516,13.491,13.305,13.464,13.243,15.694,19.896,21.927,22.703,23.43,23.981,24.956,26.256,27.582,28.779,29.84,30.722,31.282,31.7,31.994,32.045,31.867,31.866,32.212,32.435,32.355,32.052,31.894,31.994,32.62,33.912,35.201,36.007,35.879,35.404,35.836,36.557,36.948,37.782,38.908,40.032,41.138,41.627,41.849,42.429,42.749,43.952,47.291,49.879,50.481,51.088,51.668,52.071,52.497,52.508,52.267,51.899,51.127,50.316,50.295,49.816,47.993,45.776,43.314,40.698,37.941,34.862,31.352,27.981,25.754,24.789,24.882,25.13,25.288,25.78,26.003,25.824,25.86,26.334,26.639,26.516,26.46,27.017,27.793,28.306,28.735,29.029,29.234,29.301,29.224,29.015,28.681,28.279,27.773,27.139,26.404,25.59,24.718,23.823,22.938,22.123,21.408
1.695,1.782,1.928,2.175,2.428,2.629,2.796,2.951,3.127,3.295,3.449,3.62,3.819,4.03,4.226,4.418,4.654,4.94,5.247,5.52,5.742,5.924,6.019,6.003,5.949,5.948,6.074,6.231,6.367,6.521,6.572,6.74,7.055,7.165,7.269,7.704,8.42,9.047,9.329,9.366,9.441,9.759,10.238,10.951,11.255,10.579,10.437,11.95,13.842,14.725,14.411,13.398,13.114,13.189,13.063,15.595,19.796,21.849,22.639,23.327,23.846,24.823,26.09,27.355,28.537,29.612,30.489,31.032,31.425,31.652,31.433,31.203,31.768,32.328,32.367,32.285,31.976,31.818,31.921,32.542,33.826,35.116,35.925,35.8,35.328,35.754,36.471,36.864,37.701,38.823,39.941,41.044,41.535,41.761,42.34,42.661,43.865,47.197,49.785,50.392,50.995,51.578,51.99,52.419,52.423,52.182,51.82,51.052,50.24,50.219,49.739,47.92,45.709,43.256,40.645,37.885,34.807,31.308,27.95,25.725,24.765,24.861,25.108,25.267,25.751,25.968,25.797,25.837,26.305,26.608,26.484,26.428,26.983,27.761,28.276,28.705,28.997,29.203,29.273,29.195,28.985,28.655,28.258,27.753,27.114,26.381,25.567,24.696,23.801,22.918,22.107
1.646,1.728,1.823,1.974,2.208,2.442,2.622,2.764,2.909,3.084,3.253,3.408,3.582,3.781,3.986,4.176,4.369,4.609,4.899,5.207,5.469,5.668,5.84,5.934,5.911,5.86,5.869,6.006,6.163,6.293,6.471,6.573,6.747,7.006,7.069,7.154,7.617,8.38,9.011,9.274,9.307,9.393,9.704,10.171,10.89,11.198,10.531,10.389,11.873,13.732,14.613,14.302,13.2,12.844,13.013,12.975,15.514,19.722,21.776,22.533,23.195,23.715,24.663,25.883,27.128,28.316,29.38,30.23,30.756,31.094,31.055,30.778,31.085,31.855,32.249,32.289,32.202,31.893,31.738,31.837,32.453,33.739,35.029,35.84,35.718,35.242,35.663,36.381,36.778,37.613,38.73,39.844,40.947,41.441,41.667,42.247,42.572,43.773,47.102,49.691,50.294,50.9,51.491,51.907,52.328,52.333,52.097,51.739,50.971,50.159,50.138,49.659,47.847,45.644,43.194,40.581,37.824,34.758,31.27,27.916,25.699,24.744,24.84,25.085,25.236,25.715,25.94,25.772,25.808,26.274,26.575,26.451,26.395,26.951,27.732,28.247,28.673,28.966,29.174,29.242,29.165,28.958,28.632,28.236,27.728,27.09,26.358,25.544,24.674,23.781,22.901
1.607,1.664,1.757,1.861,2.015,2.239,2.457,2.608,2.724,2.865,3.039,3.205,3.36,3.536,3.736,3.939,4.123,4.316,4.561,4.854,5.149,5.388,5.577,5.751,5.844,5.817,5.769,5.785,5.931,6.087,6.233,6.449,6.556,6.707,6.934,6.952,7.043,7.564,8.361,8.978,9.221,9.253,9.332,9.632,10.105,10.831,11.136,10.468,10.31,11.771,13.627,14.503,14.095,12.922,12.668,12.927,12.905,15.454,19.646,21.663,22.404,23.058,23.541,24.445,25.657,26.912,28.09,29.127,29.954,30.433,30.532,30.429,30.66,31.165,31.767,32.164,32.199,32.111,31.806,31.649,31.745,32.363,33.649,34.94,35.749,35.623,35.147,35.569,36.291,36.686,37.517,38.63,39.743,40.848,41.342,41.57,42.153,42.475,43.679,47.007,49.589,50.194,50.808,51.401,51.809,52.231,52.24,52.009,51.65,50.882,50.072,50.05,49.577,47.772,45.574,43.123,40.512,37.766,34.712,31.23,27.885,25.674,24.721,24.815,25.055,25.201,25.686,25.913,25.742,25.776,26.24,26.541,26.417,26.363,26.922,27.701,28.214,28.64,28.936,29.142,29.21,29.136,28.933,28.61,28.21,27.702,27.066,26.334,25.521,24.652,23.762
1.565,1.605,1.678,1.781,1.897,2.056,2.271,2.456,2.57,2.675,2.816,2.986,3.15,3.305,3.487,3.692,3.892,4.071,4.26,4.507,4.793,5.063,5.29,5.479,5.657,5.753,5.722,5.675,5.695,5.848,6.022,6.201,6.412,6.488,6.636,6.837,6.834,6.958,7.527,8.343,8.941,9.164,9.188,9.257,9.557,10.044,10.768,11.056,10.376,10.215,11.674,13.522,14.292,13.81,12.74,12.573,12.847,12.849,15.398,19.541,21.534,22.268,22.881,23.327,24.225,25.446,26.698,27.848,28.858,29.643,29.899,29.938,30.319,30.727,31.067,31.674,32.065,32.099,32.016,31.709,31.549,31.648,32.27,33.556,34.844,35.647,35.519,35.047,35.474,36.193,36.585,37.413,38.525,39.641,40.743,41.238,41.469,42.05,42.377,43.584,46.902,49.481,50.094,50.712,51.298,51.706,52.132,52.145,51.912,51.553,50.787,49.978,49.962,49.493,47.694,45.494,43.045,40.446,37.711,34.662,31.191,27.854,25.647,24.694,24.782,25.017,25.169,25.657,25.881,25.708,25.741,26.204,26.505,26.384,26.332,26.89,27.667,28.18,28.61,28.904,29.11,29.181,29.11,28.91,28.582,28.183,27.676,27.04,26.308,25.498,24.633
1.502,1.546,1.602,1.69,1.805,1.934,2.099,2.284,2.42,2.515,2.621,2.762,2.93,3.091,3.249,3.438,3.646,3.842,4.014,4.2,4.44,4.707,4.96,5.184,5.377,5.563,5.659,5.62,5.571,5.596,5.773,5.985,6.16,6.33,6.391,6.541,6.736,6.741,6.89,7.489,8.31,8.882,9.085,9.1,9.173,9.483,9.976,10.69,10.953,10.27,10.118,11.566,13.302,13.996,13.621,12.641,12.488,12.782,12.801,15.316,19.416,21.399,22.095,22.675,23.127,24.034,25.247,26.468,27.584,28.558,29.127,29.314,29.808,30.358,30.618,30.967,31.567,31.957,31.994,31.908,31.601,31.446,31.55,32.173,33.456,34.736,35.534,35.41,34.944,35.37,36.084,36.475,37.303,38.417,39.531,40.633,41.13,41.361,41.945,42.277,43.479,46.792,49.374,49.99,50.6,51.186,51.599,52.028,52.039,51.807,51.45,50.685,49.883,49.87,49.404,47.603,45.406,42.97,40.382,37.652,34.612,31.151,27.82,25.616,24.659,24.743,24.984,25.14,25.624,25.846,25.672,25.705,26.168,26.47,26.351,26.3,26.856,27.633,28.148,28.575,28.869,29.078,29.153,29.084,28.88,28.552,28.154,27.648,27.012,26.284,25.477
1.432,1.472,1.526,1.599,1.703,1.83,1.972,2.119,2.253,2.363,2.456,2.563,2.704,2.87,3.033,3.195,3.389,3.599,3.79,3.954,4.126,4.349,4.605,4.851,5.074,5.274,5.465,5.558,5.508,5.457,5.503,5.713,5.92,6.06,6.199,6.252,6.428,6.644,6.646,6.803,7.415,8.216,8.762,8.952,8.969,9.043,9.351,9.838,10.53,10.77,10.091,9.936,11.278,12.925,13.713,13.433,12.463,12.319,12.62,12.616,15.095,19.171,21.119,21.789,22.374,22.837,23.735,24.924,26.115,27.192,27.963,28.461,29.061,29.768,30.238,30.509,30.852,31.451,31.841,31.877,31.789,31.487,31.338,31.445,32.068,33.343,34.617,35.415,35.297,34.834,35.256,35.968,36.36,37.19,38.301,39.414,40.517,41.013,41.248,41.837,42.167,43.369,46.683,49.263,49.871,50.48,51.071,51.486,51.913,51.925,51.693,51.337,50.58,49.783,49.773,49.303,47.504,45.319,42.895,40.312,37.593,34.563,31.108,27.782,25.576,24.617,24.707,24.951,25.105,25.585,25.805,25.633,25.666,26.13,26.434,26.316,26.264,26.82,27.599,28.113,28.539,28.835,29.048,29.125,29.053,28.849,28.523,28.125,27.619,26.986,26.26
1.373,1.397,1.444,1.508,1.599,1.719,1.859,1.988,2.092,2.199,2.303,2.393,2.504,2.649,2.813,2.974,3.138,3.337,3.547,3.731,3.877,4.029,4.245,4.498,4.738,4.964,5.167,5.356,5.444,5.385,5.354,5.441,5.654,5.825,5.935,6.051,6.114,6.34,6.568,6.551,6.703,7.313,8.097,8.627,8.825,8.85,8.916,9.213,9.701,10.398,10.65,9.982,9.751,11.014,12.743,13.62,13.366,12.418,12.274,12.55,12.524,14.992,19.049,20.977,21.648,22.262,22.745,23.65,24.813,25.944,26.821,27.514,28.415,29.117,29.635,30.118,30.384,30.727,31.326,31.713,31.747,31.663,31.368,31.224,31.333,31.95,33.218,34.49,35.291,35.173,34.711,35.132,35.844,36.24,37.069,38.179,39.292,40.391,40.892,41.132,41.718,42.05,43.258,46.567,49.134,49.742,50.356,50.949,51.362,51.788,51.8,51.571,51.221,50.469,49.677,49.663,49.193,47.405,45.231,42.813,40.241,37.531,34.508,31.058,27.735,25.53,24.578,24.672,24.913,25.064,25.544,25.765,25.592,25.627,26.093,26.397,26.277,26.226,26.785,27.561,28.075,28.503,28.803,29.017,29.091,29.018,28.816,28.491,28.093,27.59,26.96
