"year","age","px"
1952,52,0.97288404
1952,53,0.96953141
1952,54,0.96628002
1952,55,0.96274625
1952,56,0.95833387
1952,57,0.9524025
1952,58,0.94429299
1952,59,0.93415172
1952,60,0.92289819
1952,61,0.91271231
1952,62,0.90643889
1952,63,0.9051663
1952,64,0.90842495
1952,65,0.91370072
1952,66,0.91832294
1952,67,0.92071749
1952,68,0.9198145
1952,69,0.91550819
1952,70,0.90795388
1952,71,0.89771405
1952,72,0.88583142
1952,73,0.87324637
1952,74,0.86088578
1952,75,0.84920374
1952,76,0.83820839
1952,77,0.82772361
1952,78,0.81742125
1952,79,0.80704047
1952,80,0.79639151
1952,81,0.78535943
1952,82,0.77390641
1952,83,0.7620483
1952,84,0.74985899
1952,85,0.73743886
1952,86,0.72491312
1952,87,0.71235856
1952,88,0.69978156
1952,89,0.68713229
1952,90,0.6742905
1952,91,0.66118945
1952,92,0.64786195
1952,93,0.63446595
1952,94,0.62135408
1952,95,0.60910797
1952,96,0.59653357
1952,97,0.58416461
1952,98,0.57203302
1952,99,0.56016812
1952,100,0
1953,0,0.92487861
1953,1,0.98917766
1953,2,0.99241386
1953,3,0.99464546
1953,4,0.99616284
1953,5,0.99718266
1953,6,0.9978603
1953,7,0.99830437
1953,8,0.99859057
1953,9,0.99876665
1953,10,0.99886306
1953,11,0.99889691
1953,12,0.99887833
1953,13,0.99881171
1953,14,0.998701
1953,15,0.99855074
1953,16,0.99836931
1953,17,0.9981709
1953,18,0.99797021
1953,19,0.9977832
1953,20,0.99761882
1953,21,0.99748006
1953,22,0.99736447
1953,23,0.99726551
1953,24,0.99717518
1953,25,0.99708449
1953,26,0.99698589
1953,27,0.99687297
1953,28,0.99674395
1953,29,0.99660117
1953,30,0.99645075
1953,31,0.9963023
1953,32,0.99615884
1953,33,0.99601552
1953,34,0.99585448
1953,35,0.99564258
1953,36,0.99534345
1953,37,0.99491532
1953,38,0.99432658
1953,39,0.99357057
1953,40,0.99266942
1953,41,0.99170376
1953,42,0.99077048
1953,43,0.98994172
1953,44,0.98923351
1953,45,0.98854175
1953,46,0.98772115
1953,47,0.98659301
1953,48,0.98498437
1953,49,0.98281782
1953,50,0.98007283
1953,51,0.97691284
1953,52,0.97360001
1953,53,0.9703099
1953,54,0.96710454
1953,55,0.96362141
1953,56,0.95929449
1953,57,0.95351435
1953,58,0.94565541
1953,59,0.93585979
1953,60,0.92500175
1953,61,0.91514696
1953,62,0.90899153
1953,63,0.90758363
1953,64,0.91050716
1953,65,0.91539081
1953,66,0.91968584
1953,67,0.92186358
1953,68,0.92086933
1953,69,0.91657984
1953,70,0.90912934
1953,71,0.89905113
1953,72,0.88734299
1953,73,0.87490866
1953,74,0.86264553
1953,75,0.85100305
1953,76,0.84000715
1953,77,0.82950085
1953,78,0.81917404
1953,79,0.80877024
1953,80,0.79809141
1953,81,0.78701141
1953,82,0.77547934
1953,83,0.76350862
1953,84,0.75118318
1953,85,0.73862026
1953,86,0.7259688
1953,87,0.71331756
1953,88,0.70066772
1953,89,0.68794963
1953,90,0.67500486
1953,91,0.66173695
1953,92,0.64816676
1953,93,0.63446533
1953,94,0.62103906
1953,95,0.60894324
1953,96,0.59626216
1953,97,0.58379085
1953,98,0.57156205
1953,99,0.55960572
1953,100,0
1954,0,0.93211245
1954,1,0.99089556
1954,2,0.99353817
1954,3,0.99539022
1954,4,0.99667404
1954,5,0.99755579
1954,6,0.99815529
1954,7,0.99855827
1954,8,0.99882429
1954,9,0.99899251
1954,10,0.99908767
1954,11,0.99912341
1954,12,0.99910766
1954,13,0.99904203
1954,14,0.9989287
1954,15,0.998771
1954,16,0.99857905
1954,17,0.99837298
1954,18,0.99817337
1954,19,0.99800075
1954,20,0.99786096
1954,21,0.99774774
1954,22,0.99765018
1954,23,0.99755487
1954,24,0.99745505
1954,25,0.99734889
1954,26,0.99723875
1954,27,0.99713023
1954,28,0.99702691
1954,29,0.99693034
1954,30,0.9968384
1954,31,0.99674539
1954,32,0.99664202
1954,33,0.99651514
1954,34,0.99634734
1954,35,0.99611533
1954,36,0.99579459
1954,37,0.99535878
1954,38,0.99478872
1954,39,0.99408446
1954,40,0.99326916
1954,41,0.99240868
1954,42,0.99158027
1954,43,0.99084073
1954,44,0.99020419
1954,45,0.98959486
1954,46,0.98890581
1954,47,0.98800639
1954,48,0.98677412
1954,49,0.98515786
1954,50,0.98314424
1954,51,0.98083243
1954,52,0.97836953
1954,53,0.97584079
1954,54,0.97326208
1954,55,0.97039696
1954,56,0.96688419
1954,57,0.96232958
1954,58,0.95632659
1954,59,0.94891947
1954,60,0.94056784
1954,61,0.93244809
1954,62,0.92619777
1954,63,0.92271163
1954,64,0.92215195
1954,65,0.92338035
1954,66,0.92487115
1954,67,0.92545331
1954,68,0.92418606
1954,69,0.92074729
1954,70,0.91500952
1954,71,0.90711201
1954,72,0.89741724
1954,73,0.88631873
1954,74,0.87432337
1954,75,0.86191365
1954,76,0.84955828
1954,77,0.8375811
1954,78,0.82614386
1954,79,0.81516806
1954,80,0.80434401
1954,81,0.79330952
1954,82,0.78167038
1954,83,0.76922771
1954,84,0.75601278
1954,85,0.74220959
1954,86,0.72817328
1954,87,0.71416945
1954,88,0.70031145
1954,89,0.68656324
1954,90,0.67268839
1954,91,0.6584999
1954,92,0.64393009
1954,93,0.62910229
1954,94,0.61445268
1954,95,0.60117931
1954,96,0.5875351
1954,97,0.57416623
1954,98,0.56111217
1954,99,0.54840832
1954,100,0
1955,0,0.93830293
1955,1,0.99196183
1955,2,0.99448311
1955,3,0.99617632
1955,4,0.99729367
1955,5,0.9980201
1955,6,0.99848509
1955,7,0.99877561
1955,8,0.99895142
1955,9,0.99904821
1955,10,0.9990889
1955,11,0.99908646
1955,12,0.99904865
1955,13,0.99898023
1955,14,0.99888508
1955,15,0.99876785
1955,16,0.99863448
1955,17,0.99849336
1955,18,0.99835221
1955,19,0.99821864
1955,20,0.99809636
1955,21,0.9979861
1955,22,0.99788674
1955,23,0.99779581
1955,24,0.99771136
1955,25,0.99763174
1955,26,0.99755515
1955,27,0.99747951
1955,28,0.99740095
1955,29,0.99731395
1955,30,0.99721136
1955,31,0.9970842
1955,32,0.99692403
1955,33,0.99672269
1955,34,0.99647373
1955,35,0.9961732
1955,36,0.99581912
1955,37,0.99541296
1955,38,0.99495881
1955,39,0.99446432
1955,40,0.99393964
1955,41,0.9933964
1955,42,0.99284181
1955,43,0.99227091
1955,44,0.99166489
1955,45,0.99098003
1955,46,0.99016264
1955,47,0.98915363
1955,48,0.98789886
1955,49,0.98638469
1955,50,0.98462677
1955,51,0.98270368
1955,52,0.98071845
1955,53,0.9787234
1955,54,0.97671964
1955,55,0.97455035
1955,56,0.9719842
1955,57,0.96877218
1955,58,0.96465796
1955,59,0.95961541
1955,60,0.95379651
1955,61,0.94769816
1955,62,0.9420736
1955,63,0.93748828
1955,64,0.93431178
1955,65,0.93233098
1955,66,0.93103047
1955,67,0.92981767
1955,68,0.92808739
1955,69,0.9254211
1955,70,0.92145913
1955,71,0.91597038
1955,72,0.90877602
1955,73,0.89985542
1955,74,0.88935288
1955,75,0.87767049
1955,76,0.86549612
1955,77,0.85346348
1955,78,0.84211266
1955,79,0.83156297
1955,80,0.821499
1955,81,0.81143402
1955,82,0.80074322
1955,83,0.78905887
1955,84,0.77632153
1955,85,0.76270053
1955,86,0.74863453
1955,87,0.73449193
1955,88,0.72049672
1955,89,0.70670051
1955,90,0.69290889
1955,91,0.6789326
1955,92,0.66463909
1955,93,0.65004627
1955,94,0.63543327
1955,95,0.62127096
1955,96,0.60723451
1955,97,0.59341243
1955,98,0.57985008
1955,99,0.56658922
1955,100,0
1956,0,0.94361286
1956,1,0.99325095
1956,2,0.99515329
1956,3,0.99649209
1956,4,0.99741806
1956,5,0.99804843
1956,6,0.99846967
1956,7,0.99874445
1956,8,0.99891825
1956,9,0.9990199
1956,10,0.99906879
1956,11,0.99907617
1956,12,0.99904942
1956,13,0.99899323
1956,14,0.99891248
1956,15,0.99881316
1956,16,0.99870357
1956,17,0.99859433
1956,18,0.99849423
1956,19,0.9984108
1956,20,0.99834512
1956,21,0.99829492
1956,22,0.99825497
1956,23,0.99821885
1956,24,0.99818079
1956,25,0.99813522
1956,26,0.99807729
1956,27,0.99800215
1956,28,0.99790515
1956,29,0.9977812
1956,30,0.99762531
1956,31,0.9974321
1956,32,0.99719771
1956,33,0.99691956
1956,34,0.99659997
1956,35,0.99624614
1956,36,0.99586969
1956,37,0.99548624
1956,38,0.99510471
1956,39,0.99472786
1956,40,0.9943441
1956,41,0.99393029
1956,42,0.99346027
1956,43,0.99290398
1956,44,0.99223818
1956,45,0.9914441
1956,46,0.990511
1956,47,0.98943711
1956,48,0.98822731
1956,49,0.98689567
1956,50,0.98546384
1956,51,0.9839616
1956,52,0.98241019
1956,53,0.98081789
1956,54,0.97915986
1956,55,0.97737242
1956,56,0.97536971
1956,57,0.97304152
1956,58,0.97029906
1956,59,0.96708704
1956,60,0.96340538
1956,61,0.95933773
1956,62,0.95501447
1956,63,0.95061452
1956,64,0.94632681
1956,65,0.94232118
1956,66,0.9387049
1956,67,0.93548255
1956,68,0.93252816
1956,69,0.92955236
1956,70,0.9261733
1956,71,0.92190162
1956,72,0.91631862
1956,73,0.90916191
1956,74,0.90035843
1956,75,0.89023582
1956,76,0.87930298
1956,77,0.8682387
1956,78,0.85762265
1956,79,0.84759391
1956,80,0.83801965
1956,81,0.82834637
1956,82,0.81801641
1956,83,0.80669193
1956,84,0.79421043
1956,85,0.78080873
1956,86,0.76682393
1956,87,0.75262824
1956,88,0.73852342
1956,89,0.72453046
1956,90,0.710572
1956,91,0.69644578
1956,92,0.68198182
1956,93,0.66721109
1956,94,0.65226122
1956,95,0.63738718
1956,96,0.62282904
1956,97,0.60843913
1956,98,0.59426964
1956,99,0.58036952
1956,100,0
1957,0,0.94818332
1957,1,0.99410101
1957,2,0.99576451
1957,3,0.9969284
1957,4,0.99772451
1957,5,0.99825702
1957,6,0.99860383
1957,7,0.99882009
1957,8,0.99894792
1957,9,0.99901378
1957,10,0.99903801
1957,11,0.99903496
1957,12,0.9990144
1957,13,0.99898405
1957,14,0.99894632
1957,15,0.99890147
1957,16,0.99884724
1957,17,0.99878048
1957,18,0.99870163
1957,19,0.99861378
1957,20,0.99852538
1957,21,0.99844869
1957,22,0.9983925
1957,23,0.99836193
1957,24,0.99835122
1957,25,0.99834752
1957,26,0.99833562
1957,27,0.99829906
1957,28,0.99822732
1957,29,0.99811332
1957,30,0.99795478
1957,31,0.99775504
1957,32,0.99751902
1957,33,0.9972544
1957,34,0.9969683
1957,35,0.99666582
1957,36,0.99635015
1957,37,0.99602082
1957,38,0.99567524
1957,39,0.99530791
1957,40,0.99491061
1957,41,0.99447146
1957,42,0.99397614
1957,43,0.99340807
1957,44,0.9927484
