"X1950","X1951","X1952","X1953","X1954","X1955","X1956","X1957","X1958","X1959","X1960","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020","X2021","X2022","X2023","X2024","X2025","X2026","X2027","X2028","X2029","X2030","X2031","X2032","X2033","X2034","X2035","X2036","X2037","X2038","X2039","X2040","X2041","X2042","X2043","X2044","X2045","X2046","X2047","X2048","X2049","X2050","X2051","X2052","X2053","X2054","X2055","X2056","X2057","X2058","X2059","X2060","X2061","X2062","X2063","X2064","X2065","X2066","X2067","X2068","X2069","X2070","X2071","X2072","X2073","X2074","X2075","X2076","X2077","X2078","X2079","X2080","X2081","X2082","X2083","X2084","X2085","X2086","X2087","X2088","X2089","X2090","X2091","X2092","X2093","X2094","X2095","X2096","X2097","X2098","X2099","X2100"
12.061,12.597,12.977,13.274,13.807,14.834,16.358,18.206,20.128,21.82,23.098,24.102,25.033,25.968,26.974,27.951,28.817,29.596,30.172,30.508,30.6,30.369,29.898,29.418,28.856,27.981,26.782,25.281,23.684,22.273,21.948,22.803,23.632,23.691,22.633,21.276,20.736,20.523,20.255,20.564,21.235,21.759,22.186,22.172,21.962,22.166,22.077,22.66,25.259,27.221,27.379,27.315,27.134,27.113,27.209,26.96,26.622,26.238,25.604,25.09,25.365,25.244,24.012,22.926,22.416,22.343,22.565,22.912,23.096,22.704,21.838,21.355,22.075,22.703,22.716,23.158,23.442,23.203,23.078,23.375,23.648,23.543,23.558,24.378,25.334,25.849,26.271,26.564,26.784,26.869,26.807,26.612,26.297,25.915,25.419,24.789,24.055,23.223,22.323,21.397,20.476,19.622,18.875,18.241,17.724,17.337,17.08,16.916,16.827,16.825,16.89,16.999,17.131,17.316,17.535,17.761,17.988,18.209,18.426,18.601,18.74,18.826,18.855,18.834,18.768,18.643,18.457,18.201,17.909,17.608,17.284,16.953,16.615,16.279,15.963,15.67,15.38,15.126,14.934,14.773,14.633,14.527,14.457,14.425,14.428,14.465,14.499,14.536,14.592,14.652,14.698
11.818,12.37,12.83,13.116,13.331,13.858,14.961,16.538,18.355,20.252,21.934,23.177,24.157,25.078,26.012,27.017,27.994,28.86,29.637,30.259,30.639,30.709,30.43,29.909,29.41,28.837,27.924,26.698,25.172,23.558,22.235,22.069,22.96,23.75,23.796,22.715,21.343,20.829,20.672,20.462,20.826,21.497,21.975,22.366,22.337,22.132,22.357,22.291,22.86,25.408,27.357,27.541,27.414,27.143,27.187,27.387,27.173,26.873,26.565,25.954,25.397,25.668,25.55,24.299,23.207,22.701,22.631,22.834,23.174,23.342,22.791,21.917,21.821,22.46,22.749,22.762,23.195,23.477,23.24,23.109,23.401,23.677,23.576,23.594,24.413,25.363,25.872,26.297,26.593,26.811,26.892,26.826,26.632,26.32,25.936,25.442,24.814,24.077,23.25,22.354,21.424,20.504,19.66,18.913,18.27,17.752,17.369,17.114,16.947,16.855,16.85,16.913,17.025,17.16,17.343,17.555,17.776,18.011,18.238,18.453,18.631,18.773,18.858,18.886,18.858,18.785,18.666,18.484,18.223,17.927,17.625,17.299,16.968,16.631,16.298,15.98,15.685,15.395,15.143,14.949,14.787,14.65,14.547,14.477,14.441,14.443,14.479,14.513,14.549,14.607,14.668
11.535,12.177,12.68,13.066,13.255,13.39,13.911,15.045,16.619,18.45,20.379,22.049,23.258,24.213,25.122,26.056,27.061,28.04,28.902,29.679,30.329,30.73,30.796,30.489,29.917,29.402,28.817,27.868,26.613,25.063,23.538,22.422,22.332,23.173,23.934,23.95,22.864,21.526,21.05,20.97,20.826,21.197,21.847,22.303,22.694,22.672,22.485,22.739,22.669,23.183,25.726,27.704,27.816,27.595,27.392,27.558,27.808,27.666,27.471,27.204,26.603,26.1,26.41,26.297,25.063,23.998,23.506,23.409,23.599,23.907,23.866,23.304,22.874,22.469,22.509,22.792,22.797,23.229,23.513,23.27,23.134,23.43,23.709,23.61,23.628,24.44,25.385,25.896,26.323,26.619,26.831,26.91,26.845,26.654,26.341,25.958,25.466,24.835,24.102,23.279,22.379,21.451,20.539,19.697,18.942,18.297,17.782,17.401,17.143,16.973,16.878,16.872,16.939,17.052,17.187,17.363,17.57,17.799,18.038,18.264,18.483,18.664,18.805,18.887,18.908,18.875,18.808,18.692,18.506,18.241,17.944,17.64,17.314,16.983,16.649,16.316,15.995,15.699,15.411,15.157,14.963,14.803,14.669,14.566,14.492,14.454,14.457,14.492,14.525,14.562,14.621
11.136,11.915,12.536,12.991,13.302,13.395,13.449,13.942,15.072,16.665,18.544,20.506,22.165,23.339,24.268,25.166,26.099,27.104,28.084,28.945,29.726,30.387,30.802,30.879,30.547,29.926,29.395,28.799,27.813,26.529,25.098,23.831,22.825,22.696,23.482,24.177,24.186,23.168,21.892,21.483,21.486,21.384,21.745,22.38,22.85,23.267,23.273,23.116,23.371,23.242,23.756,26.36,28.273,28.27,28.111,28.062,28.311,28.666,28.666,28.55,28.366,27.907,27.499,27.826,27.749,26.572,25.521,25.005,24.895,25.048,25.09,25.008,25.003,23.944,22.527,22.552,22.826,22.83,23.263,23.541,23.294,23.16,23.459,23.741,23.642,23.654,24.461,25.407,25.922,26.348,26.639,26.849,26.928,26.866,26.674,26.361,25.981,25.486,24.86,24.13,23.302,22.405,21.485,20.575,19.724,18.968,18.327,17.814,17.429,17.168,16.995,16.899,16.896,16.965,17.079,17.206,17.378,17.592,17.825,18.064,18.293,18.515,18.694,18.833,18.909,18.924,18.896,18.833,18.713,18.523,18.256,17.958,17.654,17.328,17,16.665,16.328,16.009,15.715,15.425,15.171,14.979,14.821,14.688,14.582,14.506,14.468,14.469,14.504,14.538,14.576
10.694,11.512,12.293,12.895,13.302,13.539,13.534,13.502,13.95,15.083,16.71,18.637,20.634,22.281,23.419,24.322,25.209,26.145,27.148,28.128,28.991,29.779,30.448,30.872,30.96,30.604,29.935,29.387,28.781,27.757,26.616,25.515,24.367,23.307,23.125,23.8,24.47,24.581,23.674,22.485,22.132,22.174,22.09,22.48,23.198,23.831,24.442,24.615,24.483,24.658,24.573,25.16,27.634,29.395,29.485,29.556,29.772,30.431,31.129,31.21,31.163,31.148,30.817,30.436,30.775,30.72,29.477,28.297,27.816,27.724,27.482,27.463,28.15,26.878,24.018,22.57,22.587,22.86,22.865,23.294,23.567,23.323,23.192,23.494,23.774,23.67,23.677,24.485,25.436,25.948,26.37,26.657,26.869,26.951,26.889,26.697,26.386,26.003,25.512,24.89,24.156,23.33,22.44,21.522,20.605,19.752,19,18.36,17.843,17.456,17.192,17.018,16.925,16.925,16.994,17.1,17.223,17.402,17.62,17.852,18.095,18.326,18.547,18.724,18.857,18.927,18.948,18.924,18.855,18.732,18.54,18.273,17.974,17.671,17.347,17.018,16.68,16.345,16.026,15.73,15.44,15.187,14.998,14.842,14.704,14.596,14.521,14.482,14.482,14.518,14.554
10.316,11.059,11.888,12.672,13.254,13.613,13.774,13.662,13.54,13.955,15.094,16.756,18.732,20.761,22.395,23.498,24.376,25.253,26.188,27.189,28.164,29.032,29.834,30.503,30.939,31.042,30.661,29.944,29.379,28.761,27.916,27.177,26.209,24.954,23.815,23.502,24.128,24.93,25.205,24.434,23.284,22.924,23.011,23.018,23.583,24.642,25.683,26.656,26.889,26.639,26.921,26.91,27.26,29.505,31.409,31.861,32.447,33.48,34.758,35.537,35.636,35.763,35.892,35.568,35.151,35.46,35.214,33.675,32.593,32.209,31.554,31.212,32.233,30.953,26.988,24.085,22.629,22.644,22.919,22.919,23.342,23.619,23.378,23.25,23.552,23.826,23.716,23.724,24.538,25.485,25.994,26.413,26.701,26.916,26.997,26.934,26.745,26.431,26.053,25.566,24.939,24.207,23.39,22.503,21.575,20.655,19.807,19.056,18.413,17.893,17.503,17.238,17.067,16.977,16.976,17.037,17.139,17.268,17.453,17.67,17.906,18.151,18.381,18.599,18.77,18.895,18.972,18.995,18.966,18.895,18.77,18.576,18.308,18.01,17.709,17.384,17.052,16.715,16.381,16.06,15.764,15.475,15.225,15.037,14.876,14.736,14.628,14.552,14.512,14.512,14.55
9.989,10.679,11.425,12.264,13.052,13.614,13.923,13.973,13.745,13.568,13.959,15.102,16.8,18.825,20.887,22.51,23.578,24.43,25.297,26.23,27.235,28.198,29.064,29.884,30.558,31.007,31.123,30.717,29.95,29.368,29.01,28.663,28.064,26.934,25.553,24.241,23.887,24.681,25.686,26.145,25.43,24.262,23.977,24.221,24.451,25.419,26.948,28.34,29.248,29.192,29.064,29.444,29.07,29.146,31.627,34.044,35.187,36.798,38.492,39.614,40.262,40.631,41.04,41.225,40.835,40.373,40.442,39.819,38.472,37.63,36.483,35.592,36.627,35.514,31.138,27.145,24.233,22.776,22.793,23.061,23.055,23.482,23.764,23.527,23.399,23.692,23.96,23.853,23.866,24.677,25.619,26.123,26.543,26.835,27.048,27.13,27.071,26.878,26.57,26.195,25.703,25.078,24.358,23.543,22.643,21.713,20.799,19.953,19.197,18.549,18.025,17.633,17.372,17.204,17.113,17.101,17.155,17.267,17.404,17.585,17.808,18.047,18.288,18.515,18.724,18.885,19.019,19.099,19.116,19.081,19.006,18.878,18.683,18.415,18.12,17.817,17.488,17.155,16.819,16.481,16.159,15.864,15.579,15.33,15.134,14.97,14.831,14.72,14.642,14.601,14.605
9.679,10.364,11.041,11.789,12.637,13.428,13.971,14.175,14.084,13.797,13.597,13.961,15.111,16.845,18.919,21.014,22.624,23.657,24.484,25.338,26.27,27.283,28.232,29.094,29.935,30.614,31.075,31.202,30.77,29.953,29.669,29.932,29.725,28.885,27.582,25.968,24.613,24.509,25.546,26.743,27.27,26.541,25.483,25.428,25.944,26.619,28.096,29.913,31.044,31.441,31.508,31.511,31.369,30.683,31.146,34.306,37.579,39.942,42.18,43.355,44.124,45.133,45.949,46.474,46.542,46.08,45.337,44.952,44.654,43.737,41.929,40.399,41.237,40.19,35.823,31.482,27.474,24.561,23.108,23.116,23.374,23.375,23.811,24.099,23.862,23.722,24.005,24.276,24.177,24.188,24.988,25.924,26.43,26.857,27.146,27.359,27.445,27.38,27.195,26.895,26.512,26.021,25.415,24.699,23.864,22.959,22.038,21.127,20.271,19.508,18.855,18.328,17.941,17.684,17.515,17.406,17.383,17.451,17.573,17.706,17.895,18.122,18.355,18.592,18.802,18.995,19.169,19.307,19.376,19.383,19.341,19.264,19.131,18.936,18.671,18.372,18.061,17.729,17.399,17.056,16.713,16.393,16.104,15.819,15.556,15.355,15.19,15.046,14.932,14.854,14.817
9.414,10.075,10.736,11.402,12.152,13.011,13.806,14.249,14.299,14.145,13.847,13.623,13.963,15.118,16.89,19.012,21.14,22.738,23.735,24.534,25.36,26.294,27.329,28.264,29.123,29.986,30.669,31.139,31.276,30.817,30.316,30.721,31.12,30.572,29.495,27.912,26.242,25.215,25.437,26.671,27.91,28.421,27.831,27.038,27.296,28.328,29.576,31.337,32.763,33.228,33.757,33.989,33.354,32.834,32.658,33.954,38.121,42.804,45.813,47.312,47.985,49.166,50.694,51.599,51.911,51.844,51.023,49.718,49.737,50.002,47.977,45.689,46.206,45.043,40.657,36.416,32.054,28.045,25.139,23.672,23.665,23.934,23.949,24.395,24.684,24.429,24.274,24.563,24.847,24.743,24.739,25.531,26.468,26.985,27.406,27.697,27.917,27.992,27.939,27.765,27.451,27.072,26.608,26.008,25.262,24.419,23.526,22.609,21.684,20.818,20.046,19.387,18.867,18.487,18.229,18.032,17.907,17.904,17.987,18.103,18.246,18.441,18.66,18.887,19.096,19.285,19.494,19.674,19.796,19.849,19.845,19.799,19.712,19.579,19.387,19.116,18.804,18.488,18.16,17.818,17.468,17.129,16.815,16.526,16.22,15.949,15.745,15.572,15.422,15.307,15.232
9.191,9.835,10.47,11.108,11.762,12.515,13.385,14.082,14.358,14.354,14.205,13.896,13.649,13.965,15.127,16.933,19.103,21.262,22.849,23.811,24.554,25.338,26.3,27.373,28.296,29.153,30.037,30.721,31.198,31.346,31.25,31.487,31.996,31.955,31.104,29.694,28.055,26.775,26.145,26.617,27.887,29.104,29.776,29.463,28.994,29.817,31.48,32.987,34.212,34.805,35.41,36.135,35.584,34.507,34.635,35.446,37.881,43.597,48.904,50.925,51.76,52.889,54.623,56.191,56.779,56.867,56.351,54.862,54.024,54.722,53.729,51.126,51.19,50.006,45.662,41.496,37.228,32.862,28.863,25.939,24.453,24.462,24.75,24.778,25.226,25.49,25.215,25.068,25.373,25.651,25.529,25.514,26.308,27.259,27.768,28.19,28.491,28.696,28.788,28.749,28.557,28.247,27.903,27.448,26.806,26.049,25.224,24.337,23.401,22.462,21.583,20.803,20.154,19.642,19.259,18.965,18.747,18.646,18.665,18.741,18.869,19.02,19.205,19.413,19.604,19.784,19.994,20.212,20.368,20.468,20.508,20.497,20.439,20.351,20.223,20.022,19.732,19.413,19.102,18.757,18.406,18.059,17.729,17.414,17.096,16.779,16.503,16.291,16.109,15.957,15.847
